Name,Surname,Certificate expiration date,Card number,Card type,Contract number,Certificate serial number,Telephone,Email,Status,Note
Fahad,Flores,18.01.2023 15:30:00,7281925201928392,physical,9827,===6FC0938=uuehyhkwakikdcskqxprrfppuwdodaabiwyytzzgooajfetfiznvcuwexahopbru=96E94AF34432===,+48 123123123,fahad@mail.com,renewed,-
Zackary,Church,31.05.2023 12:15:00,9827123982751827,virtual,76271,===6FC0938=vllpvuleknzmbxqlgncqajottwyjyhnnkwtenblzzuergcyxevqevffeovbueomf=96E94AF34432===,+48 123123123,zackary@mail.com,proforma sent,-
Marina,Cotton,20.04.2025 18:30:00,5628376598324565,other,65983,===6FC0938=certhosuewfrozepkchpyvbdcmqkgpodwvivbrvtpyvuybhxaqlaxwdiqqbbrcdg=96E94AF34432===,+48 123123123,marina@mail.com,renewed,-
Kathryn,Patton,26.05.2035 15:00:00,5698324589652178,other,9835,===6FC0938=hkoyxxydyarhcgylztignuexglsojafspiqhqdwnpqhdsusrghbalyiewryqqgva=96E94AF34432===,+48 123123123,kathryn@mail.com,paid,-
Uzair,Cobb,12.10.2022 12:25:00,5948235914193859,physical,3596,===6FC0938=jbpwvcnuhqlqlaitvjksnzweltgaqmzqdpmyolggcqqaupcbzhxvwvyygcacgygd=96E94AF34432===,+48 123123123,uzair@mail.com,paid,-
Christopher,Charles,03.02.2023 12:00:00,9865482659281937,virtual,3987,===6FC0938=fasxngpkfnwqxwejuikjedyktdfbitcmphnqhyafebsgavhcubjquiadsfeogzme=96E94AF34432===,+48 123123123,christopher@mail.com,paid,-
Sion,Rosales,29.01.2023 12:30:00,1968493598626475,other,6985,===6FC0938=ziobncdychbcdaqepnoughdkdhewgyphcaxbjupmesdhllpswhqoezvbwqgypzmv=96E94AF34432===,+48 123123123,sion@mail.com,new,Test note.
Grace,Gonzales,23.09.2027 14:15:00,6958473625141346,other,59326,===6FC0938=rcgygsvisyfsyvapmxbqpvauvrqrmrblencjyayuvycyjuhewgsouskbiblzueqe=96E94AF34432===,+48 123123123,grace@mail.com,other,-
Lucian,Powers,28.12.2031 12:25:00,1759368459687532,physical,2584,===6FC0938=lmqzpizzvqhzyavjktgexlamydwxcxkmjlhycdnneksznklkvzcmnpkhhvnxkoay=96E94AF34432===,+48 123123123,lucian@mail.com,paid,-
Abdullah,Glover,29.08.2022 15:00:00,1649764315286915,physical,19684,===6FC0938=dscliehqhadhpufpsgowdfzxzbdydjxjnmxrpmkyqgiyaovisfhargfvdjfsqvug=96E94AF34432===,+48 123123123,abdullah@mail.com,renewed,-
